Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
005948-00,Herbizid,Dimethachlor,500,g/l,"",,"",0,15
00A146-00,Herbizid,Dimethachlor,500,g/l,"",,"",0,15
006275-00,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
027821-00,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027821-00,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
027820-00,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027820-00,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
027820-00,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
007508-00,Herbizid,Pelargonsäure,30.99,g/l,"",,"",0,
007507-00,Herbizid,Pelargonsäure,237.59,g/l,"",,"",0,
00A679-00,Herbizid,Pelargonsäure,580.24,g/l,"",,"",0,
007507-61,Herbizid,Pelargonsäure,237.59,g/l,"",,"",0,
007507-60,Herbizid,Pelargonsäure,237.59,g/l,"",,"",0,
007508-60,Herbizid,Pelargonsäure,30.99,g/l,"",,"",0,
027820-60,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027820-60,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
027820-60,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
006275-60,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
027821-60,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027821-60,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
007507-64,Herbizid,Pelargonsäure,237.59,g/l,"",,"",0,
027820-61,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027820-61,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
027820-61,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
006275-64,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
027821-67,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027821-67,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
005747-68,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-68,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-68,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-68,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
005747-66,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-66,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-66,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-66,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
007507-63,Herbizid,Pelargonsäure,237.59,g/l,"",,"",0,
007508-62,Herbizid,Pelargonsäure,30.99,g/l,"",,"",0,
00A876-00,Herbizid,Diflufenican,14,g/l,"",,"",0,12
00A876-00,Herbizid,Prosulfocarb,667,g/l,"",,"",0,15
00A876-00,Herbizid,Cloquintocet,0.94,g/l,Mexyl 1-Methyl-hexylester,1.33,g/l,0,
00A876-00,Herbizid,Halauxifen-methyl,1.33,g/l,"",,"",0,4
005984-00,Herbizid,Metsulfuron,38.4,g/kg,Methylester,40,g/kg,0,2
005984-00,Herbizid,Thifensulfuron,384.5,g/kg,Methylester,400,g/kg,0,2
006858-61,Herbizid,Metsulfuron,65.5,g/kg,Methylester,68,g/kg,0,2
006858-61,Herbizid,Thifensulfuron,657.4,g/kg,Methylester,682,g/kg,0,2
008430-00,Herbizid,Foramsulfuron,50,g/l,"",,"",0,2
008430-00,Herbizid,Thiencarbazone,28.92,g/l,Methylester,30,g/l,0,2
00A631-00,Herbizid,Rimsulfuron,150,g/kg,"",,"",0,2
00A631-00,Herbizid,Nicosulfuron,300,g/kg,"",,"",0,2
028533-00,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
008047-74,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-81,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-81,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
028511-00,Herbizid,Mefenpyr,129.9,g/kg,Diethylester,135,g/kg,0,
028511-00,Herbizid,Iodosulfuron,45,g/kg,Methylester-Na,45,g/kg,0,2
028511-00,Herbizid,Mesosulfuron,45,g/kg,Methylester-Na,47,g/kg,0,2
